2022-08-31,613001001069 DOMINION BLACKM,3.04,
2022-08-31,613001001068 DOMINION BLACKM,170.21,
2022-08-30,000001001582 DOLLARAMA #1149,68.43,
2022-08-30,THE HONEST COBB,86.25,
2022-08-29,000001001687 WALMART STORE #,66.70,
2022-08-26,063001001071 NORTH ATLANTIC,6.85,
2022-08-26,063001001033 DOMINION PEARLG,180.35,
2022-08-25,223715999914 MARSHALLS 785/H,9.14,
2022-08-24,000001343094 SOBEYS #340,37.43,
2022-08-24,332001001085 ONLY DEALS,14.35,
2022-08-24,223613621355 SWISS CHALET #1,40.80,
2022-08-24,000001226022 SHOE COMPANY #,182.53,
2022-08-24,000001001617 #371 SPORT CHEK,114.99,
2022-08-23,000001001977 DOLLARAMA # 440,27.89,
2022-08-23,000001001370 COLES 117,20.88,
2022-08-23,000055300848 MASSAGE ADDICT,10.01,
2022-08-23,000055300846 MASSAGE ADDICT,30.30,
2022-08-22,616001001032 DOMINION PEARLG,102.28,
2022-08-22,616001001031 DOMINION PEARLG,102.28,
2022-08-22,000001001794 COSTCO WHOLESAL,513.69,
2022-08-22,996649410820 SMALL POINT GEN,3.99,
2022-08-22,992321060820 T N T FACTORY C,43.29,
2022-08-22,000001345003 SOBEYS #340,8.49,
2022-08-22,182001001005 RESTAURANT TERR,235.10,
2022-08-18,000068307473 JUNGLE JIMS EAT,22.85,
2022-08-18,000049308680 GREEN SLEEVES/L,23.13,
2022-08-18,000049312809 GREEN SLEEVES/L,8.64,
2022-08-18,000073306832 GAHAN HARBOURVI,43.64,
2022-08-16,000001001765 DOLLARAMA #1149,75.81,
2022-08-16,667242460816 PET CITY,48.25,
2022-08-16,Internet Banking E-TRANSFER 104209392033 Reginald Careen,50.00,
2022-08-16,222813231060 WAGS TO WHISKER,81.48,
2022-08-15,000001354155 SOBEYS #340,239.55,
2022-08-15,205001001113 POWELL'S SUPERM,14.98,
2022-08-12,000043005568 THE HEALTHY VIB,1.29,
2022-08-11,222219390362 CINEPLEX #8126,15.04,
2022-08-09,Internet Banking E-TRANSFER 104203207411 kayla sommers,15.00,
2022-08-09,572001001003 NUIMAGE DESIGN,182.90,
2022-08-08,995007090806 SMALL POINT GEN,8.40,
2022-08-08,000001101038 CIRCLE K / IRVI,12.66,
2022-08-08,221811932018 STARBUCKS COFFE,7.19,
2022-08-03,Internet Banking INTERNET BILL PAY 000000225612 NEWFOUNDLAND POWER,425.00,
2022-08-02,Internet Banking E-TRANSFER 104196229325 Linzie mark,500.00,
2022-08-02,000001375037 SOBEYS #340,129.04,
2022-08-01,000094309775 RISE AND SHINE,13.58,
2022-08-01,000001585081 MCDONALD'S #297,3.67,
2022-08-31,"THE HERBAL CENTRE ST. JOHN'S, NL",31.01
2022-08-31,"SQ *SWEET ROCK ICE CREAM St. John's, NL",10.00
2022-08-31,"ROCKY MOUNTAIN CHOCOLATE ST. JOHN'S, NL",15.20
2022-08-31,"GAHAN HARBOURVIEW ST. JOHN'S, NL",71.42
2022-08-31,"AMZN Mktp CA*ZK2BO93P3 WWW.AMAZON.CA, ON",25.85
2022-08-31,"SERGIO'S BAY ROBERTS, NL",17.40
2022-08-30,"WWW.NFMUSHROOMS.COM LIVINGSTONE S, NL",19.25
2022-08-30,"CDN TIRE STORE #00217 CARBONEAR, NL",17.23
2022-08-29,"DISNEY PLUS 180-07271800, CA",13.79
2022-08-29,"D AND D VARIETY NORTHERN BAY, NL",4.29
2022-08-29,"SMALL POINT GENERAL STORE WESTERN BAY, NL",37.59
2022-08-29,"GREENFARMNL MT. PEARL, NL",20.25
2022-08-29,"COLDWATER FOODS & CAFE CARBONEAR, NL",105.47
2022-08-29,"TELUS MOBILITY PREAUTH 403-5303586, AB",150.89
2022-08-29,"N ATLANTIC PETROLEUM 1 MOUNT PEARL, NL",102.70
2022-08-29,"BURDENS SUPERETTE BROAD-CV-BDV, NL",39.55
2022-08-29,"CDN TIRE STORE #00333 MOUNT PEARL, NL",12.64
2022-08-26,"AMZN Mktp CA*RY0ZH0L53 WWW.AMAZON.CA, ON",26.44
2022-08-26,"HOVER 8667316556, MS 18.10 USD @ 1.330386",24.08
2022-08-26,"COLEMANS FOOD CENTRE MOUNT PEARL, NL",24.89
2022-08-26,"LOVABLE LABELS 9058495800, ON",128.71
2022-08-25,"APPLE.COM/BILL 866-712-7753, ON",17.24
2022-08-25,"BACKBLAZE HTTPSWWW.BACK, CA 16.10 USD @ 1.334161",21.48
2022-08-24,"DICKS AND COMPANY BASICS ST JOHN'S, NL",167.80
2022-08-24,"NETFLIX.COM Vancover, BC",18.96
2022-08-24,"PIPERS DEPARTMENT STORE ST. JOHN'S, NL",6.27
2022-08-23,"WWW.NFMUSHROOMS.COM LIVINGSTONE S, NL",19.25
2022-08-23,"APPLE.COM/BILL 866-712-7753, ON",14.94
2022-08-23,"NYTimes*NYTimes disc 800-698-4637, NY",2.30
2022-08-23,"BACKBLAZE HTTPSWWW.BACK, CA 1.06 USD @ 1.330188",1.41
2022-08-22,"SOBEYS #340 ST. JOHN'S, NL",10.64
2022-08-22,"BURDENS SUPERETTE BROAD-CV-BDV, NL",41.20
2022-08-22,"COLDWATER FOODS & CAFE CARBONEAR, NL",26.45
2022-08-22,"JUMPSHIP.DEV TORONTO, ON 1.00 USD @ 1.330000",1.33
2022-08-22,"GREENFARMNL MT. PEARL, NL",20.25
2022-08-22,"STRATECHERY/DITHERING HTTPSSTRATECH, CA 5.00 USD @ 1.334000",6.67
